loggingTime(txt)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|altimeterTimestamp_sinceReboot(s)|altimeterReset(bool)|altimeterRelativeAltitude(m)|altimeterPressure(kPa)|label
2021-02-10 21:22:18.617 +0000|26538.38446279167|0.169677734375|0.0911712646484375|-0.987030029296875|26538.36449879167|0.3180456256218821|0.1645274744007684|-0.09048080839384767|-0.01367095392197371|-0.007860242389142513|-0.0003688151482492685|0.004120141267776489|-0.005243889987468719|0.006828844547271729|XArbitraryZVertical|-0.05750207750171984|0.07391386437403742|0.1539871408470334|0.9836250743201269|0.1631162166595459|0.09035740047693253|-0.9824604988098145|0|0|0|-1|-1|634684936.5312992|0|0.1100006|100.0114|3
2021-02-10 21:22:18.637 +0000|26538.40442779167|0.1711578369140625|0.0771942138671875|-0.985809326171875|26538.38446279167|0.318052090605293|0.1643287015168761|-0.09107014736747231|-0.0316973440349102|-0.007560955826193094|0.007368999533355236|0.01022934913635254|0.002744652330875397|-0.00297236442565918|XArbitraryZVertical|-0.05777650777848616|0.07376837738602074|0.1539700681319818|0.9836226026743434|0.1629121899604797|0.0909443125128746|-0.982440173625946|0|0|0|-1|-1|634684936.5312992|0|0.1100006|100.0114|3
2021-02-10 21:22:18.657 +0000|26538.42439179167|0.1503448486328125|0.087890625|-0.9833221435546875|26538.40442779167|0.318423737419505|0.1644811527528656|-0.09155883108389945|-0.0117612686008215|0.001317649148404598|0.02602062560617924|-0.005904346704483032|-0.006958305835723877|-0.004506051540374756|XArbitraryZVertical|-0.05804200642144716|0.07379314417570358|0.1541268822918113|0.983580539159603|0.1630546748638153|0.09143096208572388|-0.9823713898658752|0|0|0|-1|-1|634684936.5312992|0|0.1100006|100.0114|3
2021-02-10 21:22:18.677 +0000|26538.44435579167|0.1545562744140625|0.1008148193359375|-0.9849395751953125|26538.42439179167|0.3188538177354238|0.1646093949670816|-0.09152127535359586|-0.0120408171787858|0.008884435519576073|0.01237130351364613|-0.01391968131065369|-0.005166150629520416|-0.002570450305938721|XArbitraryZVertical|-0.05804932109949895|0.07384676310984356|0.1543363195964723|0.9835432702731373|0.1631812155246735|0.09139356017112732|-0.9823538661003113|0|0|0|-1|-1|634684936.5312992|0|0.1100006|100.0114|3
2021-02-10 21:22:18.697 +0000|26538.46431979167|0.1527862548828125|0.0975494384765625|-0.984161376953125|26538.46431979167|0.3188878669218663|0.1648564340216911|-0.09131204849941299|0.009226005524396896|-0.001619870308786631|-0.01116127520799637|-0.01119004189968109|0.004365317523479462|-0.001935780048370361|XArbitraryZVertical|-0.05796688334575908|0.07398418886920749|0.1543551536422837|0.9835347775224395|0.1634270250797272|0.09118521213531494|-0.9823323488235474|0|0|0|-1|-1|634684936.5312992|0|0.1100006|100.0114|3
2021-02-10 21:22:18.716 +0000|26538.48428379167|0.1565399169921875|0.0845794677734375|-0.9828948974609375|26538.46431979167|0.3188878669218663|0.1648564340216911|-0.09131204849941299|0.009226005524396896|-0.001619870308786631|-0.01116127520799637|-0.01119004189968109|0.004365317523479462|-0.001935780048370361|XArbitraryZVertical|-0.05796688334575908|0.07398418886920749|0.1543551536422837|0.9835347775224395|0.1634270250797272|0.09118521213531494|-0.9823323488235474|0|0|0|-1|-1|634684936.5312992|0|0.1100006|100.0114|3
2021-02-10 21:22:18.736 +0000|26538.50424779167|0.1613922119140625|0.081329345703125|-0.9758453369140625|26538.48428379167|0.3185373017613891|0.1647424473171079|-0.09099311369578163|0.005556735210120678|-0.001522345934063196|-0.01714362390339375|-0.006779834628105164|-0.003816209733486176|-0.001507103443145752|XArbitraryZVertical|-0.05778846337080318|0.07396405685435081|0.1542001368595657|0.983571181520224|0.1633198112249374|0.09086760133504868|-0.9823796153068542|0|0|0|-1|-1|634684936.5312992|0|0.1100006|100.0114|3
2021-02-10 21:22:18.756 +0000|26538.52421179167|0.1595916748046875|0.0779266357421875|-0.9709625244140625|26538.50424779167|0.3181638507906309|0.16460239079399|-0.09067772276327328|0.002160738920792937|-0.006888081785291433|-0.01907024160027504|-0.00293906033039093|-0.006981119513511658|0.004937410354614258|XArbitraryZVertical|-0.05760894620754169|0.07393142095820907|0.1540344467750704|0.9836100715032856|0.1631869077682495|0.09055350720882416|-0.9824306964874268|0|0|0|-1|-1|634684936.5312992|0|0.1100006|100.0114|3
2021-02-10 21:22:18.776 +0000|26538.54417579167|0.1695556640625|0.0997161865234375|-0.98114013671875|26538.52421179167|0.3177729131750572|0.1645074824525918|-0.09077411508625433|0.001970622688531876|0.006317521445453167|-0.01824395172297955|-0.003866717219352722|-0.01112069934606552|0.0106511116027832|XArbitraryZVertical|-0.05763454611973941|0.07388823439700724|0.1538406642274909|0.9836421207142511|0.1630922257900238|0.09064950793981552|-0.9824375510215759|0|0|0|-1|-1|634684936.5312992|0|0.1100006|100.0114|3
2021-02-10 21:22:18.796 +0000|26538.56413979167|0.1665802001953125|0.0962371826171875|-0.986053466796875|26538.54417579167|0.3174130201663453|0.1646240978766033|-0.09089779975815691|0.01161444466561079|0.01484618708491325|-0.01453621033579111|0.00244450569152832|0.005266144871711731|0.002701699733734131|XArbitraryZVertical|-0.05769096833282829|0.07394600147234481|0.1536548413955848|0.9836635136632922|0.1632049530744553|0.09077268093824387|-0.9824075102806091|0|0|0|-1|-1|634684936.5312992|0|0.1100006|100.0114|3
