loggingTime(txt)|loggingSample(N)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|gyroTimestamp_sinceReboot(s)|gyroRotationX(rad/s)|gyroRotationY(rad/s)|gyroRotationZ(rad/s)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|activityTimestamp_sinceReboot(s)|activity(txt)|activityActivityConfidence(Z)|activityActivityStartDate(txt)|deviceID(txt)|deviceOrientationTimeStamp_since1970(s)|deviceOrientation(Z)|label(N)
2021-02-05 14:20:58.691 +0000|1|5228.86939825|0.1561737060546875|-0.3971405029296875|-1.000137329101562|5228.86939825|0.04175064340233803|-0.3499191105365753|-0.1933747828006744|5228.84426725|-0.6463856785795572|0.1311343570660559|0.3741749745947479|-0.450034111738205|0.231508195400238|-0.1934930980205536|-0.01581559330224991|0.008891552686691284|-0.06537193059921265|XArbitraryCorrectedZVertical|-0.1964350253712112|-0.002098623447445193|0.2998274891580079|-0.933548284974316|0.1217115744948387|-0.3655047118663788|-0.9228177666664124|-33.52414703369141|-47.19370269775391|-122.68701171875|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:58.732 +0000|2|5228.90960525|0.1069488525390625|-0.3871917724609375|-0.971160888671875|5228.86939825|0.04175064340233803|-0.3499191105365753|-0.1933747828006744|5228.894525250001|-0.6555254089116318|0.1201582755737915|0.3716618489692379|0.2306373864412308|-0.5885674357414246|-0.1205863729119301|-0.002981685101985931|-0.04493197798728943|-0.01124167442321777|XArbitraryCorrectedZVertical|-0.1936083307586067|0.003504823130456636|0.3053090973827105|-0.9323571174816134|0.1116852760314941|-0.3631643056869507|-0.9250070452690125|-33.09941864013672|-46.91609954833984|-122.7477111816406|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:58.772 +0000|3|5228.94981125|0.0658721923828125|-0.3482513427734375|-0.916168212890625|5228.94981125|-0.2266403287649155|-0.4102194905281067|-0.2380682229995728|5228.94478425|-0.6647411006182491|0.09389214922507147|0.3701907605429721|-0.2170733958482742|-0.4544410407543182|-0.2237806022167206|-0.02163781225681305|0.01287055015563965|0.01115989685058594|XArbitraryCorrectedZVertical|-0.1888269721528388|0.01638061901305386|0.3121939131593122|-0.9309194908637464|0.08740318566560745|-0.3617932796478271|-0.9281520843505859|-33.45369720458984|-46.88339233398438|-122.747673034668|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:58.812 +0000|4|5228.990018250001|0.108367919921875|-0.305877685546875|-1.0096435546875|5228.94981125|-0.2266403287649155|-0.4102194905281067|-0.2380682229995728|5228.969915250001|-0.6712547548419446|0.08635289736607232|0.3630649087297697|-0.2878433167934418|-0.4064352214336395|-0.3259782791137695|0.01585780829191208|0.04154238104820251|-0.05017679929733276|XArbitraryCorrectedZVertical|-0.1842875598474357|0.01932152101939934|0.3162899414071826|-0.9303900039130835|0.08062350004911423|-0.3551410138607025|-0.9313295483589172|-33.70378875732422|-46.77233505249023|-123.0351257324219|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:58.858 +0000|5|5229.030225250001|0.0688934326171875|-0.3399810791015625|-0.9135284423828125|5228.990018250001|-0.2561971545219421|-0.6271917223930359|-0.4533616304397583|5229.02017325|-0.6955564373036793|0.06181598680509179|0.3490641472144604|-0.1598312705755234|-0.8030954003334045|-0.58461993932724|0.01409246027469635|0.001457631587982178|0.02136397361755371|XArbitraryCorrectedZVertical|-0.1735455549212238|0.03054086127990979|0.3304269846017356|-0.9272363489854931|0.05805107578635216|-0.3420185446739197|-0.9378983974456787|-33.86892700195312|-46.40406799316406|-123.2990493774414|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:58.893 +0000|6|5229.07043125|0.026580810546875|-0.299102783203125|-0.90118408203125|5229.07043125|0.3071825802326202|-0.7239009737968445|-0.7102328538894653|5229.045300250001|-0.7116233083049981|0.04830666919280674|0.344976019901112|-0.05488006398081779|-0.6784633994102478|-0.6333814859390259|-0.008806586265563965|0.008889436721801758|0.05019998550415039|XArbitraryCorrectedZVertical|-0.1691247707743835|0.03746914350535777|0.3391964432507912|-0.9246289240149839|0.04544293507933617|-0.3381741046905518|-0.9399857521057129|-33.80026626586914|-46.2916259765625|-123.3330535888672|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:58.933 +0000|7|5229.11063825|-0.094573974609375|-0.3310394287109375|-0.9766387939453125|5229.11063825|0.3290979862213135|-0.8986972570419312|-0.6588388681411743|5229.09555925|-0.7501940880350161|0.0230911027075384|0.3580046786162726|0.5276272892951965|-0.9430066347122192|-0.7529125213623047|-0.104770302772522|0.05945152044296265|-0.006431341171264648|XArbitraryCorrectedZVertical|-0.1698197716769192|0.05465486284194167|0.3585722786307756|-0.9162969594915351|0.02162515558302402|-0.3504061102867126|-0.9363481998443604|-33.71734619140625|-46.18207168579102|-123.5069885253906|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:58.979 +0000|8|5229.15084525|-0.0567169189453125|-0.4231109619140625|-0.955810546875|5229.11063825|0.3290979862213135|-0.8986972570419312|-0.6588388681411743|5229.145817250001|-0.7796826734182252|-0.005213230413261901|0.3631740411181784|-0.3281227052211761|-0.496187150478363|-0.3080550134181976|-0.05224049091339111|-0.0684019923210144|-0.02428412437438965|XArbitraryCorrectedZVertical|-0.1660659947283565|0.07100316926990352|0.3742272931576845|-0.909579295871867|-0.004873170051723719|-0.3552430272102356|-0.9347612857818604|-33.57341766357422|-46.55598068237305|-122.9651336669922|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:59.014 +0000|9|5229.19105225|-0.0487060546875|-0.3725738525390625|-0.85552978515625|5229.19105225|-0.06697743386030197|-0.2262520492076874|-0.079498291015625|5229.17094825|-0.7858144047188578|-0.01231642082544635|0.3546316059916559|-0.2957835793495178|-0.2938464283943176|-0.1532478183507919|-0.02827572822570801|-0.04807978868484497|0.04921460151672363|XArbitraryCorrectedZVertical|-0.1606233598931532|0.07313314063086947|0.3778687661023324|-0.908882304791095|-0.01154973357915878|-0.347244918346405|-0.9377033710479736|-33.69334030151367|-46.54682922363281|-122.9730758666992|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:59.054 +0000|10|5229.23125825|-0.0367584228515625|-0.3151397705078125|-0.9390411376953125|5229.23125825|0.04387398064136505|-0.03540273010730743|-0.06308629363775253|5229.221207250001|-0.7899112506827495|-0.02048125173004575|0.3517234776918565|0.06460324674844742|-0.06323608756065369|-0.04963704571127892|-0.01823429763317108|0.02841520309448242|0.003051817417144775|XArbitraryCorrectedZVertical|-0.1575994935819564|0.07662034503030565|0.3804664791737004|-0.9080401623849823|-0.01922605186700821|-0.3445162773132324|-0.9385834336280823|-33.91883087158203|-46.40442276000977|-123.3938140869141|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
