loggingTime(txt)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|altimeterTimestamp_sinceReboot(s)|altimeterReset(bool)|altimeterRelativeAltitude(m)|altimeterPressure(kPa)|label
2021-02-11 18:42:05.919 +0000|34391.325355375|-0.3353424072265625|0.366912841796875|-0.8616180419921875|34391.30539337501|-3.0612145612756|-0.3630320046211745|-0.3655409549800461|-0.004487039521336555|0.002729313913732767|-0.002500190632417798|0.001783758401870728|-0.0006582736968994141|-0.0003214478492736816|XArbitraryZVertical|-0.1845533689989936|0.1714920232136764|-0.9650894994226951|0.07164393582271487|-0.3316483199596405|0.3574545681476593|-0.8730610609054565|0|0|0|-1|-1|634761723.3788165|0|3.940002|99.96571|3
2021-02-11 18:42:05.937 +0000|34391.345316375|-0.3309478759765625|0.3568878173828125|-0.8698883056640625|34391.345316375|-3.061057812501946|-0.3633270446288411|-0.3655844251378154|-0.004685528110712767|-0.009935455396771431|0.01004773750901222|-0.002145081758499146|0.004107624292373657|0.004525244235992432|XArbitraryZVertical|-0.1847093015235645|0.1714880009806825|-0.9650526555991037|0.07174857242429199|-0.3319003582000732|0.3574951589107513|-0.8729487061500549|0|0|0|-1|-1|634761723.3788165|0|3.940002|99.96571|3
2021-02-11 18:42:05.955 +0000|34391.365278375|-0.332763671875|0.3505096435546875|-0.867218017578125|34391.345316375|-3.061057812501946|-0.3633270446288411|-0.3655844251378154|-0.004685528110712767|-0.009935455396771431|0.01004773750901222|-0.002145081758499146|0.004107624292373657|0.004525244235992432|XArbitraryZVertical|-0.1847093015235645|0.1714880009806825|-0.9650526555991037|0.07174857242429199|-0.3319003582000732|0.3574951589107513|-0.8729487061500549|0|0|0|-1|-1|634761725.9257429|0|3.940002|99.96597|3
2021-02-11 18:42:05.975 +0000|34391.385239375|-0.326629638671875|0.351654052734375|-0.868499755859375|34391.385239375|-3.060859509316747|-0.3641100292010249|-0.3660589821316923|-0.01551966741681099|-0.03172538429498672|0.01291347574442625|0.007724672555923462|-0.008130550384521484|0.006425797939300537|XArbitraryZVertical|-0.1851055529677247|0.1716711422384263|-0.9649290094532081|0.07195187725060417|-0.3325233161449432|0.3579383194446564|-0.872529923915863|0|0|0|-1|-1|634761725.9257429|0|3.940002|99.96597|3
2021-02-11 18:42:05.995 +0000|34391.405201375|-0.343963623046875|0.357666015625|-0.8831939697265625|34391.385239375|-3.060859509316747|-0.3641100292010249|-0.3660589821316923|-0.01551966741681099|-0.03172538429498672|0.01291347574442625|0.007724672555923462|-0.008130550384521484|0.006425797939300537|XArbitraryZVertical|-0.1851055529677247|0.1716711422384263|-0.9649290094532081|0.07195187725060417|-0.3325233161449432|0.3579383194446564|-0.872529923915863|0|0|0|-1|-1|634761725.9257429|0|3.940002|99.96597|3
2021-02-11 18:42:06.015 +0000|34391.425162375|-0.3360748291015625|0.3643646240234375|-0.8829345703125|34391.405201375|-3.061131261874226|-0.3645538956467192|-0.3663084025447129|-0.007605683989822865|0.002446646336466074|-0.01646829396486282|-0.0143197774887085|-0.003114432096481323|-0.007843375205993652|XArbitraryZVertical|-0.1852971192752673|0.1718010205499924|-0.9648744137560458|0.07188017987828618|-0.3328787088394165|0.3581711947917938|-0.8722987771034241|0|0|0|-1|-1|634761725.9257429|0|3.940002|99.96597|3
2021-02-11 18:42:06.034 +0000|34391.445124375|-0.3271636962890625|0.3612518310546875|-0.8722991943359375|34391.425162375|-3.061565909803234|-0.3646810999614491|-0.366247939724335|0.01218859385699034|0.01149409636855125|-0.02074923552572727|-0.002299278974533081|0.008340328931808472|-0.0126873254776001|XArbitraryZVertical|-0.1853209655489066|0.1718074669587885|-0.9648839158226141|0.0716762491578876|-0.3329974114894867|0.3581147491931915|-0.8722766637802124|0|0|0|-1|-1|634761725.9257429|0|3.940002|99.96597|3
2021-02-11 18:42:06.055 +0000|34391.465086375|-0.32916259765625|0.3571319580078125|-0.8719329833984375|34391.445124375|-3.061822448280719|-0.3645571815341231|-0.3656797865709558|0.02636909484863281|0.011418835259974|-0.0183744952082634|0.005553930997848511|0.003026753664016724|-0.001774907112121582|XArbitraryZVertical|-0.1852375488316328|0.1715608057144194|-0.9649574079428079|0.0714932694129965|-0.3329617977142334|0.3575842082500458|-0.8725078701972961|0|0|0|-1|-1|634761725.9257429|0|3.940002|99.96597|3
2021-02-11 18:42:06.074 +0000|34391.485047375|-0.3342132568359375|0.3542327880859375|-0.8706207275390625|34391.465086375|-3.061776835370432|-0.3641384503291837|-0.3650353492724538|0.02573785930871964|0.01692572049796581|-0.006775008514523506|0.003042727708816528|0.003262460231781006|0.001173555850982666|XArbitraryZVertical|-0.1850375892983229|0.171259758736011|-0.9650543319608201|0.07142432743518656|-0.3326784372329712|0.3569823205471039|-0.8728623986244202|0|0|0|-1|-1|634761725.9257429|0|3.940002|99.96597|3
2021-02-11 18:42:06.094 +0000|34391.505009375|-0.3209686279296875|0.3533782958984375|-0.871551513671875|34391.485047375|-3.061808570975257|-0.3639427118754347|-0.3645467897291109|0.009739883244037628|0.01776828989386559|-0.01048035267740488|0.002033650875091553|-0.00360533595085144|0.0007606744766235352|XArbitraryZVertical|-0.1849390149320561|0.1710332936675526|-0.9651188231183406|0.07135055078205967|-0.3325695991516113|0.3565258979797363|-0.8730903267860413|0|0|0|-1|-1|634761725.9257429|0|3.940002|99.96597|3
